Key,Site,eyefullmeanht_eyefullmeanL,eyeballmeanht_eyeballmeanL,eyeballmeanht_eyefullmeanht,meanpupildiam_eyeballmeanht,lipsth_lipsl,meanhairlinetobrow_hairtochin,hairtochin_headtochin,eyefullmeanht_hairtochin,noselength_hairtochin,pupildist_hairtochin,pupildist_widthateyes,meanpupildiam,hairoption,braids,frontlength,hairlineshape,border,headdecoration,headband,earrings,necklace,ears,ebsigdepth,pupilmake,nostrilmake,liplineform,lipform,labraleSuperius,dimple_cleft,nick_markblw,doublechin,eyeform
BM126590_S92,Nimrud,,,,,0.45000000000000001,,,,,,,,curls,no,shoulder,,,,,,,,,,,barbell,doubleswell,no,no,no,no,
BM118227_C39,Nimrud,,,,,,0.16,,,,,,,,,,u-tabs,yes,,,,,yes,yes,,,,doubleswell,no,no,no,no,inlayhole
BM118222_C41,Nimrud,0.20999999999999999,,,,,,,,,,,,,,,u-tabs,yes,,,,,yes,,,,,,,,,,inlayhole
BM123771_C40,Nimrud,,,,,,,,,,,,,,,,,,,,,,,,,,plain,doubleswell,,,,,
MB118263_S316,Nimrud,,,,,,,,,,,,,,,,parted,no,no,,,,yes,,,,,,,,,,
BM126596e_S100i,Nimrud,,,,,,,,,,,,,curls,no,,,,,no,,,,,,,,,,,,,
BM126596b_S100e,Nimrud,0.33000000000000002,,,,0.48999999999999999,0.17000000000000001,0.78000000000000003,1.0,,,,0.17999999999999999,straight,no,,u-tabs,,no,no,no,,yes,no,drilled,drilled,tucks,doubleswell,,no,no,no,single
BM126668_S179a,Nimrud,,,,,,,,,,,,,curls,,,,,no,yes,,,,,,,,,,,,,
BM126668_S179b,Nimrud,,,,,,,,,,,,,,,,,,no,yes,no,,yes,,,,,,,,,,
BM126667_S176,Nimrud,0.46000000000000002,0.40999999999999998,0.78000000000000003,0.42999999999999999,,0.12,0.65000000000000002,0.17999999999999999,0.46000000000000002,0.44,0.46000000000000002,0.14999999999999999,curls,no,,parted,no,no,yes,,nonsmock,yes,no,drilled,,,,,,,,double
BM118235_S177,Nimrud,,,0.80000000000000004,0.42999999999999999,,,0.67000000000000004,0.17000000000000001,,,,0.14999999999999999,curls,,,,,no,yes,no,,yes,no,drilled,,,,,,,,double
BM118234_S172,Nimrud,0.39000000000000001,0.34999999999999998,0.67000000000000004,0.42999999999999999,0.20000000000000001,0.12,0.64000000000000001,0.16,0.41999999999999998,0.44,0.38,0.10000000000000001,curls,no,,parted,no,no,yes,no,nonsmock,yes,no,drilled,excised,plain,protrusion,no,no,no,no,double
BM118233_S173,Nimrud,0.56000000000000005,0.44,0.65000000000000002,0.52000000000000002,0.5,0.11,0.65000000000000002,0.22,0.47999999999999998,0.48999999999999999,0.5,0.16,curls,no,belowshoulder,parted,no,no,yes,no,nonsmock,yes,no,drilled,excised,plain,protrusion,no,yes,no,no,double
BM126666_S175,Nimrud,0.48999999999999999,0.45000000000000001,0.76000000000000001,0.5,0.42999999999999999,,0.56999999999999995,0.23000000000000001,,0.46999999999999997,0.41999999999999998,0.13500000000000001,curls,no,,parted,no,no,yes,no,nonsmock,yes,no,drilled,,plain,doubleswell,no,no,no,no,double
BM118186_S186,Nimrud,,,,,0.39000000000000001,0.83999999999999997,0.64000000000000001,0.13,0.38,,,,pegwig,no,,u-tabs,yes,no,no,no,no,yes,yes,,drilled,barbell,doubleswell,no,no,no,no,inlayhole
BM118216_S185,Nimrud,0.60999999999999999,,,,,0.92000000000000004,0.59999999999999998,0.25,0.45000000000000001,0.55000000000000004,0.46000000000000002,0.22,pegwig,no,,curved,no,no,no,no,nonsmock,yes,no,drilled,no,plain,doubleswell,no,no,no,no,single
BM126838_S188b,Nimrud,0.53000000000000003,0.41999999999999998,0.75,0.90000000000000002,,,,,,,,0.35999999999999999,,,,,no,,,,,,no,drilled,,,,,,,,double
BM127055_S187,Nimrud,0.40999999999999998,,,,,0.68999999999999995,0.75,0.14000000000000001,,0.44,,0.17000000000000001,straight,no,,parted,no,no,no,no,,yes,no,drilled,,,,,no,no,no,double
BM118220_S184,Nimrud,0.44,0.32000000000000001,0.64000000000000001,0.81000000000000005,0.39000000000000001,0.41999999999999998,0.78000000000000003,0.17499999999999999,0.41999999999999998,0.55000000000000004,0.54000000000000004,0.14999999999999999,curls,no,,curved,no,no,no,no,nonsmock,no,no,drilled,excised,plain,doubleswell,no,yes,no,yes,doubletop
BM126838_S188a,Nimrud,,,,,,,,,,,,,,,,,,no,yes,,,,,,,,,,,,,
